IDX,상호명,상권업종중분류명,시군구명,행정동명,도로명주소,경도,위도
9360,보성무안회집,일식/수산물,시흥시,월곶동,경기도 시흥시 월곶해안로 191,126.740711,37.38743051
9361,쥬앤지헤어,이/미용/건강,시흥시,목감동,경기도 시흥시 동서로 1102,126.8609563,37.38719024
9362,가보네칼국수,분식,시흥시,정왕1동,경기도 시흥시 중심상가4길 10,126.738235,37.34446902
9363,씨에스타,분식,시흥시,목감동,경기도 시흥시 새미길 3,126.8594233,37.37433536
9364,쭌패밀리푸드,한식,시흥시,정왕본동,경기도 시흥시 군서로 38,126.7479209,37.34567123
9365,금강산,이/미용/건강,시흥시,정왕2동,경기도 시흥시 중심상가로 161,126.7338972,37.34605358
9366,사랑방손칼국수,분식,시흥시,신천동,경기도 시흥시 용부리길 5,126.769178,37.44272114
9367,48번가의추억,유흥주점,시흥시,정왕2동,경기도 시흥시 정왕대로 184,126.7344039,37.34746465
9368,진흥기사식당,한식,시흥시,능곡동,경기도 시흥시 시흥대로 227-10,126.8048374,37.36129865
9369,참치사랑,일식/수산물,시흥시,정왕1동,경기도 시흥시 정왕대로 230,126.738477,37.34484104
9370,김만선왕족발,한식,시흥시,신천동,경기도 시흥시 복지로 15,126.7865871,37.44164871
9371,김나영헤어샵,이/미용/건강,시흥시,매화동,경기도 시흥시 매화2로32번길 28,126.810719,37.41703408
9372,김찬영수학원,학원-보습교습입시,시흥시,은행동,경기도 시흥시 은행로 156,126.7994505,37.44496978
9373,이씨엠디중소기업기술센터,한식,시흥시,정왕1동,경기도 시흥시 만해로 49,126.7469653,37.33118114
9374,PC119,사무/문구/컴퓨터,시흥시,정왕2동,경기도 시흥시 공단1대로 204,126.7246935,37.33770106
9375,더족발,한식,시흥시,장곡동,경기도 시흥시 진말로3번길 16,126.7836409,37.37787822
9376,메밀꽃핀마을,한식,시흥시,장곡동,경기도 시흥시 장곡로53번길 5,126.782935,37.37893421
9377,메가마트,종합소매점,시흥시,정왕3동,경기도 시흥시 정왕대로 78,126.724997,37.35312135
9378,VIP당구장,PC/오락/당구/볼링등,시흥시,정왕1동,경기도 시흥시 중심상가로 319,126.7478783,37.33736304
9379,SG자동차용품,자동차/이륜차,시흥시,능곡동,경기도 시흥시 승지로69번길 13,126.8093387,37.3707601
9380,머리나라,이/미용/건강,시흥시,장곡동,경기도 시흥시 장곡로53번길 11,126.7828902,37.3782129
